entity_name
侧腰部
骨盆外
右颈部至锁骨下
骶前
腹主动脉右旁淋巴结
甲状腺
鼻窦
胃壁浆膜上层
右侧会厌谷
右面皮下
两肺支气管
椎旁双侧
胰体
右附件
肝总管右左肝管分叉
肛门内括约肌
幽门上淋巴结
（肠系膜上动脉根部）淋巴结
左肘部皮肤
纵隔淋巴结
骶椎骨
双侧鼻唇沟
头孢
左下肺前段
眼睑
左侧头面部
直肠下段
SMV
两肺纹理
两侧肾盂
喉室
左卵巢
右侧髂总血管
外阴侧切口
盆腔
腰椎管
颈管
右侧鼻翼
腹腔动脉
颅
右髂髂血管旁淋巴结
右腕
双侧输尿管走行区
涕
双侧基底节
肝S2、4、8
胃壁全层
上唇
双侧睾丸
胆囊、脾、胰
左、右上中切牙
尿液
内环口
右第1、2足趾
颈4、5椎体前缘
胸肺腹
宫颈下唇
右左肝管
回肠
双上肢
左眉弓上方
两闭孔
肺
隆突上见淋巴结
肝小叶
右腰部
升结肠近肝曲
附睾
右侧髂总动脉淋巴结
胆总管
胎
右眼部
腰3-5椎棘突间隙
右肾下腺
皮髓质
双侧附件
胸腰椎
幽门下淋巴结
颈椎5/6椎间隙
宫内膜
胆管
右上侧切牙
肝囊
心
左腕
左侧盆腔
右手部
左上颈
下胸
半卵圆中心
右锁下
头颈胸部
子宫体偏左侧
脑动脉
右髋关节
 肠
咽峡
左髂血管
两上肺
全身皮肤粘膜
前降支
右肩关节
右侧第8肋骨
肝S2、4、6
心尖
右侧大腿脂肪层
右面部
右侧附睾
左耳
肠
锁骨下淋巴结
下段输尿管
左侧胸背部第2-6肋间
空回肠
胃部
双膝
膈动脉
肾门部血管
双髋部
左髋
右侧锁骨中线第5肋间
(左盆腔）淋巴结
左侧髂总髂外
腰4-骶1椎间盘
十二指肠降段
神经根
头颅右顶部
腰4-5、腰5-骶1椎间盘
截石位12点处
肝脏动脉
左背部
手指关节
结肠吻合口
胃窦幽门部
左上唇
小肠系膜根肠系膜根部淋巴结
宫颈口
臂丛神经
左侧第5肋骨
L4-5、L5-S1椎间盘
肝S2
右侧第10后肋
十二指水平段
腹腔肝门区
腹主动脉
手指
宫旁
腰背部
