entity_head,entity_tail
疼痛,右下腹部
疼痛,会阴部
静脉曲张,腹壁
疼痛,右下腹
钝痛,右下腹
疼痛,右下腹
钝痛,右下腹
包块,右腹股沟部
红肿,右臀部
红肿,局部皮肤
胀痛,右臀部
胀痛,局部皮肤
肿物,右臀部
溃破,右臀部
溃破,局部皮肤
肿物,右臀部
红肿,右臀部
溃破,右臀部
疼痛,右侧阴囊内
疼痛,右下腹
疼痛,右侧阴囊内
疼痛,右下腹
钝痛,右侧阴囊内
钝痛,右下腹
隆起,双侧肾区
肿胀,阴囊
肿胀,右侧附睾
胀痛,右侧阴囊
疼痛,右侧阴囊
钝痛,右侧阴囊
肿胀,右侧阴囊
疼痛,睾丸
疼痛,附睾
肿大,右侧附睾头
疼痛,右手中指
骨折,右手中指末节指骨粗隆
正大等圆,双侧瞳孔
裂伤,左额顶部
裂伤,右手中指末节
骨折,右手中指末节指骨粗隆
疼痛,左肩部
疼痛,腰部
疼痛,左膝部
疼痛,左下肢
正大等圆,双侧瞳孔
疼痛,腰4-5、腰5-骶1左侧椎旁
疼痛,向左侧臀部
疼痛,左下肢
疼痛,头面目
疼痛,右手
正大等圆,双侧瞳孔
肿胀,前额
肿胀,左侧下眼睑
肿胀,右侧胸锁乳突
肿胀,右手拇指
疼痛,关节
疼痛,鼻背部
疼痛,左胸部
疼痛,双膝部
疼痛,右手右肘
红肿,头枕部
肿胀,鼻背部
红肿,左胸部
骨折,左侧第7肋骨
红肿,头枕部
红肿,软组织
肿胀,鼻背部
红肿,左胸部
红肿,软组织
骨折,左侧第7肋骨
胀痛,下腹部
斑丘疹,全身皮肤粘膜
肿大,双侧颈部
肿大,锁骨
正大等圆,双侧瞳孔
隆起,耻骨上膀胱区
隆起,右肺上叶
出血,右肺上叶
结节,右肺
结节,右肺门
肿大,双颈部
肿大,锁骨
水肿,双下肢
水肿,双下肢
疼痛,左侧腰部
正大等圆,双侧瞳孔
疼痛,左侧腰部
正大等圆,双侧瞳孔
疼痛,左手环指
疼痛,左手环指
出血,左手环指
出血,左手环指
正大等圆,双侧瞳孔
渗出,左手环指远端
骨折,左手无名指末节
肿胀,左髋部
锐痛,左髋部
肿胀,左髋部
瘀斑,左髋部
骨折,左股骨颈
骨折,左髌骨
正大等圆,双侧瞳孔
骨折,左侧髌骨
结节,双侧附睾
胸痛,胸部
骨折,左侧第四肋骨
肿大,浅表淋巴结
肿胀,左前胸第四、五肋部
骨折,右股骨颈
疼痛,腰部
锐痛,腰部
疼痛,双下肢
疼痛,双下肢
疼痛,双下肢
疼痛,双下肢
正大等圆,双侧瞳孔
疼痛,腰部
疼痛,右下肢
疼痛,右下肢
狭窄,L5-S1椎间盘
正大等圆,双侧瞳孔
疼痛,背
疼痛,腰部
疼痛,腰部
疼痛,会阴部
肿胀,左面部
肿胀,双上臂
肿胀,前胸部
锐痛,拳
锐痛,左面部
锐痛,双上臂
锐痛,前胸部
出血,前胸部
肿胀,左面部
正大等圆,双侧瞳孔
肿胀,前胸部
瘀斑,双上臂
肿胀,双上臂
疼痛,头部
出血,头部
疼痛,头部
疼痛,前胸
疼痛,后背
疼痛,头部
肿胀,伤口周围
肿胀,胸骨中上段
肿胀,背部胸椎
血肿,顶枕部头皮下
疼痛,腰部及双下肢
正大等圆,双侧瞳孔
出血,舌部右侧
疼痛,脐周部
腹痛,下腹部
疼痛,上腹部
疼痛,脐周
钝痛,上腹部
钝痛,脐周
疼痛,脐周部
腹痛,下腹部
疼痛,脐周
钝痛,脐周
疼痛,右下腹
结节,甲状腺
肿大,右侧阴囊
肿胀,耻骨上膀胱区
苍白,面
苍白,结膜
正大等圆,双侧瞳孔
苍白,口唇
肿大,肝
肿大,脾
包块,腹部
出血,右肾
渗出,右侧输尿管壁
疼痛,左侧阴囊
疼痛,左侧阴囊
肿胀,左侧阴囊
红肿,龟头
红肿,包皮
疼痛,左侧上肢
正大等圆,双瞳孔
肿胀,左肩部
红肿,左上臂
红肿,前胸部
骨折,左侧第5肋骨
正大等圆,双侧瞳孔
肿胀,胸廓
骨折,左侧第5肋骨
出血,头部
出血,左侧顶部头皮
疼痛,头部
疼痛,左肘部
疼痛,左膝部
疼痛,左踝部
正大等圆,双侧瞳孔
水肿,双下肢
正大等圆,双侧瞳孔
肿胀,左肘部
肿胀,左肘部
出血,左膝部
肿胀,左踝部
正大等圆,双侧瞳孔
肿胀,右膝部
疼痛,颧部
疼痛,鼻部
疼痛,上唇部
疼痛,右手部
正大等圆,双侧瞳孔
正大等圆,头颅
肿胀,右颧部
肿胀,右上唇
骨折,鼻骨
骨折,额突
骨折,鼻部
疼痛,右眼
疼痛,鼻面部
疼痛,颈背部
麻木,右手环小指
骨折,右侧顶骨
血肿,右侧顶部头下
红肿,骶尾部
疼痛,腰围
